id;numero;objeto;data_assinatura;data_publicacao;inicio_vigencia;fim_vigencia;valor_total;in_situacao;apto_a_iniciar;versao
1;mobile Fish;Home Loan Account Table Computer;2019-10-25;2019-10-25;2019-10-24;2019-10-25;60111;alarm;false;5641
2;transmitter Implemen;Soap methodology Albania;2019-10-25;2019-10-25;2019-10-25;2019-10-25;61185;Steel zero administration;false;23277
3;Licensed Savings Acc;Cambridgeshire Mississippi;2019-10-25;2019-10-24;2019-10-25;2019-10-25;17052;Small Frozen Sausages Planner;true;38541
4;Music;Nakfa;2019-10-25;2019-10-25;2019-10-25;2019-10-25;49517;Games Regional Digitized;true;75536
5;convergence;Mayotte;2019-10-25;2019-10-25;2019-10-24;2019-10-24;77513;Markets Chief;true;72727
6;archive Georgia Arub;software scale interactive;2019-10-24;2019-10-25;2019-10-25;2019-10-24;28093;Faroe Islands Plastic;true;16526
7;Industrial;index orange;2019-10-25;2019-10-25;2019-10-24;2019-10-25;70685;application quantify Unbranded Plastic Tuna;false;91495
8;generating Highway E;moratorium moratorium;2019-10-24;2019-10-25;2019-10-25;2019-10-25;88721;Junction Frozen;true;84891
9;hard drive Robust Ne;Poland;2019-10-25;2019-10-25;2019-10-25;2019-10-25;10789;Outdoors;true;47537
10;Montana;Corporate Phased relationships;2019-10-24;2019-10-25;2019-10-25;2019-10-24;7697;neutral Salad;true;62435
