id;numero_documento;orgao_emissor;data_emissao;data_validade;tipo;tipo_manifesto_ambiental;versao
1;Spurs Regional;Home Loan Account;2019-10-24;2019-10-25;back-end Via indexing;Business-focused Canyon Orchestrator;49261
2;concept payment;robust;2019-10-25;2019-10-25;Rubber Shirt;Pakistan Rupee;18006
3;Rupiah;Human Mission;2019-10-25;2019-10-24;Savings Account;Licensed Wooden Pants;27859
4;Chair Awesome;Kiribati;2019-10-25;2019-10-25;innovative Bedfordshire Lempira;Licensed;48114
5;Bulgarian Lev Cambridgeshire;Regional;2019-10-25;2019-10-25;SAS;quantify;18452
6;sky blue cultivate Bedfordshire;navigate Kiribati;2019-10-25;2019-10-24;Games;Metal;68716
7;connecting generate Music;Inlet Hungary Configurable;2019-10-25;2019-10-24;Chair Kentucky;blue internet solution Concrete;89052
8;Investment Account Indian Rupee;withdrawal Club Nebraska;2019-10-24;2019-10-25;quantify architectures;empower;33744
9;Dynamic Home Loan Account;dot-com;2019-10-24;2019-10-25;Integration Music;Pants;24595
10;Pizza blue;digital;2019-10-25;2019-10-24;Small Andorra infomediaries;Executive Regional Wisconsin;91739
