id;razao_social;tipo_identificacao;identificacao;versao
1;Rustic Metal Computer;depo;Checking Account Hom;93520
2;Assurance Auto Loan Account cross-platform;inde;Malta Auto Loan Acco;48090
3;Sleek Wooden Fish markets;Gene;utilisation;47018
4;override PNG;depo;Clothing deposit;33231
5;Virgin Islands, British Borders Intelligent;Alge;indexing;17419
6;Assurance mindshare navigating;bric;Avon Syrian Arab Rep;58805
7;Clothing target;HDD ;withdrawal Planner;28385
8;sticky benchmark Point;prog;Savings Account depo;51261
9;applications;Berk;Refined;40502
10;Home Loan Account Louisiana;Chec;toolset incentivize;85798
