id;id_meta_vrpl;tx_descricao;numero;qt_itens;in_social;versao
1;65673;matrices;77347;59871;false;39665
2;96982;Ford;23605;88370;false;44202
3;16975;Jordan;33700;66939;true;14575
4;43088;Persevering Personal Loan Account;70677;25252;false;35925
5;16761;Kids array;66380;53351;false;78179
6;84417;online Utah COM;20584;53990;false;3418
7;26974;Rustic Granite Bike Program Generic Wooden Bike;45219;18001;true;8855
8;31615;Borders;4157;68820;false;39737
9;98663;Developer Books;95181;32313;true;97309
10;86791;Fork Borders;48884;34265;true;53224
