id;id_siconv;numero_proposta;ano_proposta;valor_global;valor_repasse;valor_contrapartida;modalidade;nome_objeto;numero_convenio;ano_convenio;data_assinatura_convenio;codigo_programa;nome_programa;identificacao_proponente;nome_proponente;uf;pc_min_contrapartida;nome_mandataria;categoria;nivel_contrato;spa_homologado;apelido_empreendimento;versao
1;92937;71845;55676;53503;57161;47661;27997;override silver orchestration;42543;19950;2019-10-25;Open-source M;Awesome;Sausages Haven;Checking Account frictionless;Ru;32235;primary Customer-focused UAE Dirham;Rubber Mall Investment Account;scalable Configurati;true;Frozen matrix;93834
2;20500;18123;37922;6649;92644;74112;72159;Refined Soft Keyboard synthesizing;75050;20162;2019-10-24;hacking;open-source;payment National;HDD;Ta;71378;Central Money Market Account;index Borders;customized;false;Mali Unbranded Concrete Soap;54284
3;11689;43152;93983;33281;62770;73054;33490;Wooden optical Investment Account;53346;74146;2019-10-24;mobile Cheese;program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fa;12748;syndicate haptic;Bedfordshire;application driver;true;Mexican Peso Mexican Unidad de Inversion (UDI) Por;25179
4;59902;34569;82679;18159;95907;90845;34252;Intuitive vortals;28792;94728;2019-10-25;Customer;Avon;Advanced bus;Security Virginia;so;77124;maximize Practical Steel Fish;Configuration;District Wooden Visi;false;yellow programming strategy;31144
5;51883;22739;59127;60789;39900;37930;5476;sticky neural Kids;33349;11426;2019-10-25;Switzerland C;Inlet Rue;Path Assimilated Unions;Devolved;Av;91484;integrated;modular red;payment;false;Division Towels applications;8534
6;53506;99687;18446;50219;29959;59538;30993;scale;42678;20990;2019-10-24;sticky Expres;Street New Jersey;reciprocal;Mountain Malaysia supply-chains;Bo;10298;user-centric;Mobility;didactic Dynamic;true;auxiliary Liaison;83978
7;71597;86699;65892;40798;2709;55172;22197;Distributed;67189;50550;2019-10-25;Incredible mu;THX;Re-contextualized Licensed;Producer;SA;39718;Belize Dollar maroon eco-centric;Small deposit microchip;Music Salad North Ca;false;Chief generating frictionless;25942
8;82510;37969;36305;59029;3422;26806;83065;best-of-breed generate;36275;43612;2019-10-24;lavender;transmit Wooden COM;Agent Squares;supply-chains;Be;74168;Philippine Peso incentivize;Metal;methodologies Granit;true;Armenian Dram;82258
9;91429;52966;11775;81505;57651;49809;27405;India;65142;49746;2019-10-24;yellow Games ;system-worthy pixel Phased;withdrawal Towels;navigating seize generate;Fa;8279;Auto Loan Account;Fantastic Fresh Ball;ubiquitous monitor;false;West Virginia Keys;66367
10;95408;93682;13500;73257;48375;21494;26991;Equatorial Guinea;16201;59507;2019-10-24;indexing;Savings Account extensible connect;robust;interface Buckinghamshire;In;7776;Clothing Engineer Toys;granular;solid state;true;mobile;69056
