id;numero;vl_repasse;vl_outros;in_regime_execucao;vl_contrapartida;vl_total_licitado;in_situacao;descricao;versao
1;42618;10219;45138;Hat;22076;83994;syn;qwerty;23005
2;65451;13133;27325;Usa;94361;90952;THX;qwerty;76009
3;27421;44229;98397;e-s;89409;72442;ove;qwerty;20035
4;3113;86812;65166;eff;96819;15924;fuc;qwerty;9116
5;77659;15365;77092;con;62622;79679;4th;qwerty;91183
6;92084;96751;61665;onl;48152;123;Sav;qwerty;60730
7;68556;24753;43030;tea;6420;65151;dat;qwerty;43324
8;31036;98435;45522;Hea;7244;68045;gro;qwerty;72188
9;29166;65698;69498;XSS;10493;14592;Tas;qwerty;57090
10;14249;1836;49888;Sav;55964;77580;Tac;qwerty;7241
