id;in_tipo_de_aditivo;in_alteracao_vigencia;in_alteracao_clausula;in_alteracao_objeto;numero;data_assinatura;data_publicacao;valor_acrescimo;valor_supressao;nova_data_fim_vigencia;justificativa;versao
1;dyn;false;true;true;Triple-buffered arra;2019-10-25;2019-10-25;25368;1135;2019-10-25;Arizona hack;76719
2;qua;true;true;true;Versatile seize;2019-10-25;2019-10-25;8289;86859;2019-10-25;web services;80210
3;Str;true;false;false;Sleek Frozen Chips S;2019-10-25;2019-10-24;7543;52309;2019-10-25;magenta heuristic;99583
4;Nai;true;false;true;Usability;2019-10-25;2019-10-24;39452;45565;2019-10-25;B2B Mouse;64684
5;fac;false;false;false;zero defect Ridges B;2019-10-25;2019-10-25;41120;81379;2019-10-25;clear-thinking Frozen Licensed;94053
6;mod;false;true;true;Aruba Chair portals;2019-10-24;2019-10-24;48037;98727;2019-10-24;engage;74957
7;red;true;true;false;Grocery Plastic;2019-10-25;2019-10-25;7535;86472;2019-10-25;Zimbabwe parse Customer;58514
8;cap;false;false;false;User-friendly;2019-10-25;2019-10-25;20722;22864;2019-10-24;calculate Fantastic Concrete Computer Baby;49816
9;Spr;false;true;true;Planner Refined;2019-10-24;2019-10-25;58995;13401;2019-10-25;deliverables;78466
10;pay;true;false;true;Director;2019-10-25;2019-10-25;63664;39224;2019-10-25;Unbranded array;54744
